time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-09T14:38:57.970Z,38.814167,-122.7906647,2.64,0.88,md,10,103,0.007173,0.02,nc,nc72921716,2017-11-09T15:12:03.024Z,"5km W of Cobb, California",earthquake,0.45,0.83,0.07,5,automatic,nc,nc
2017-11-09T14:28:40.130Z,33.5065,-116.7946667,4.58,0.4,ml,18,104,0.007538,0.09,ci,ci38039920,2017-11-09T22:59:07.955Z,"10km NE of Aguanga, CA",earthquake,0.18,0.25,0.107,7,reviewed,ci,ci
2017-11-09T14:27:34.670Z,37.5743333,-118.8368333,1.06,0.75,md,11,257,0.01683,0.03,nc,nc72921711,2017-11-09T21:24:02.292Z,"14km SE of Mammoth Lakes, California",earthquake,0.77,0.35,0.244,9,reviewed,nc,nc
2017-11-09T14:20:55.558Z,39.3685,-119.7388,1.7,0.9,ml,5,120.43,0.03,0.0795,nn,nn00612025,2017-11-09T22:43:25.525Z,"10km NW of Virginia City, Nevada",earthquake,,6.5,0.34,3,reviewed,nn,nn
2017-11-09T14:08:26.200Z,35.994,-97.8971,5.996,2.4,ml,,35,,0.3,us,us2000bkve,2017-11-09T22:41:30.036Z,"12km S of Hennessey, Oklahoma",earthquake,1,5.2,,,reviewed,tul,tul
2017-11-09T14:03:55.926Z,64.6143,-149.3968,19.5,1.6,ml,,,,0.66,ak,ak17173323,2017-11-09T14:12:34.486Z,"14km WNW of North Nenana, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-11-09T13:42:58.940Z,33.4996667,-116.7971667,4.34,-0.07,ml,16,141,0.01103,0.08,ci,ci38039904,2017-11-09T23:01:02.113Z,"9km NE of Aguanga, CA",earthquake,0.26,0.22,0.074,5,reviewed,ci,ci
2017-11-09T13:27:52.300Z,35.843,-118.254,4.8,1.27,ml,25,63,0.1474,0.16,ci,ci38039896,2017-11-09T22:57:15.263Z,"18km ENE of Kernville, CA",earthquake,0.26,0.76,0.194,11,reviewed,ci,ci
2017-11-09T13:26:10.467Z,59.7812,-153.3223,126,2.8,ml,,,,0.57,ak,ak17173308,2017-11-09T16:22:52.239Z,"83km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-11-09T13:13:11.754Z,61.6589,-150.9852,68,1.3,ml,,,,0.23,ak,ak17173307,2017-11-09T13:16:21.674Z,"51km W of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-11-09T13:11:52.120Z,44.8108333,-111.101,8.87,0.35,md,8,182,0.01518,0.19,uu,uu60256832,2017-11-09T16:13:19.880Z,"16km N of West Yellowstone, Montana",earthquake,1.15,1.38,0.199,7,reviewed,uu,uu
2017-11-09T12:35:49.140Z,38.8175011,-122.7866669,1.17,0.85,md,8,117,0.006307,0.02,nc,nc72921706,2017-11-09T14:44:02.967Z,"5km W of Cobb, California",earthquake,0.47,0.39,0.07,3,automatic,nc,nc
2017-11-09T12:23:01.910Z,38.8195,-122.7603302,1.37,1.57,md,12,68,0.01327,0.04,nc,nc72921701,2017-11-09T14:15:04.912Z,"3km W of Cobb, California",earthquake,0.27,0.45,0.08,5,automatic,nc,nc
2017-11-09T12:22:17.640Z,37.6095009,-118.8218307,3.03,1.08,md,8,193,0.02028,0.02,nc,nc72921696,2017-11-09T13:47:03.853Z,"13km ESE of Mammoth Lakes, California",earthquake,1.42,0.98,0.19,8,automatic,nc,nc
2017-11-09T12:16:11.290Z,33.5036667,-116.8038333,4.47,0.3,ml,15,74,0.08294,0.19,ci,ci38039880,2017-11-09T23:02:18.227Z,"9km NE of Aguanga, CA",earthquake,0.39,0.79,0.071,11,reviewed,ci,ci
2017-11-09T12:10:47.057Z,60.5381,-141.6075,14,1.6,ml,,,,0.62,ak,ak17173131,2017-11-09T12:14:36.537Z,"69km NE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-11-09T11:57:44.750Z,36.6398315,-121.2584991,4.51,1.43,md,14,138,0.05364,0.07,nc,nc72921691,2017-11-09T13:19:03.811Z,"21km SSE of Ridgemark, California",earthquake,0.43,1.54,0.17,12,automatic,nc,nc
2017-11-09T11:47:46.490Z,35.9826667,-117.9213333,2.52,0.78,ml,11,230,0.03543,0.06,ci,ci38039864,2017-11-09T23:01:11.632Z,"5km NNW of Little Lake, CA",earthquake,0.3,0.13,0.098,4,reviewed,ci,ci
2017-11-09T11:45:08.230Z,38.7840004,-122.7750015,2.13,1.25,md,15,146,0.01363,0.03,nc,nc72921686,2017-11-09T12:53:02.770Z,"1km WNW of The Geysers, California",earthquake,0.35,0.74,0.19,6,automatic,nc,nc
2017-11-09T11:36:44.400Z,35.2386,-97.7445,7.242,2.2,ml,,45,,0.41,us,us2000bktj,2017-11-09T22:18:58.270Z,"8km SE of Tuttle, Oklahoma",earthquake,1.6,2.2,,,reviewed,tul,tul
2017-11-09T11:34:27.850Z,33.4968333,-116.7911667,5.02,0.36,ml,28,35,0.01729,0.12,ci,ci38039856,2017-11-09T22:58:27.587Z,"9km NE of Aguanga, CA",earthquake,0.15,0.54,0.155,12,reviewed,ci,ci
2017-11-09T11:22:51.000Z,35.2424,-97.7377,6.931,2.3,ml,,49,,0.35,us,us2000bkt6,2017-11-09T22:27:02.347Z,"8km SE of Tuttle, Oklahoma",earthquake,1.5,2.3,,,reviewed,tul,tul
2017-11-09T10:55:26.250Z,38.8390007,-122.8291702,1.65,1.32,md,13,77,0.00495,0.01,nc,nc72921661,2017-11-09T11:28:03.608Z,"9km WNW of Cobb, California",earthquake,0.32,0.52,0.09,5,automatic,nc,nc
2017-11-09T10:49:27.370Z,43.2983333,-110.8166667,3.39,0.95,ml,7,306,0.069,0.13,mb,mb80268824,2017-11-09T17:09:22.200Z,"3km NW of Hoback, Wyoming",earthquake,1.39,1.68,0.386,6,reviewed,mb,mb
2017-11-09T10:43:42.470Z,37.606,-118.8133333,2.76,0.64,md,8,220,0.02028,0.04,nc,nc72921656,2017-11-09T20:03:03.825Z,"14km ESE of Mammoth Lakes, California",earthquake,0.95,0.63,0.069,6,reviewed,nc,nc
2017-11-09T10:35:17.439Z,37.2567,-114.9495,0,1.1,ml,5,164.9,0.17,0.2211,nn,nn00611979,2017-11-09T18:34:59.400Z,"22km ESE of Alamo, Nevada",earthquake,,0,0.04,2,reviewed,nn,nn
2017-11-09T10:23:32.880Z,44.9655,-111.6195,13.8,0.92,ml,11,125,0.191,0.12,mb,mb80268819,2017-11-09T18:26:00.720Z,"40km SSW of Big Sky, Montana",earthquake,0.4,1.15,0.092,3,reviewed,mb,mb
2017-11-09T10:23:31.920Z,37.5145,-118.8413333,8.81,0.74,md,11,295,0.07602,0.05,nc,nc72921651,2017-11-09T20:01:02.822Z,"18km SE of Mammoth Lakes, California",earthquake,1.27,0.9,0.152,9,reviewed,nc,nc
2017-11-09T10:22:42.980Z,33.1925,-115.9993333,9.49,1.59,ml,69,25,0.08809,0.22,ci,ci38039848,2017-11-09T23:03:16.204Z,"12km SSW of Salton City, CA",earthquake,0.18,0.61,0.176,48,reviewed,ci,ci
2017-11-09T10:16:33.470Z,17.9958,-67.0076,9,2.57,md,3,243,0.1025,0.13,pr,pr2017313000,2017-11-09T11:25:46.696Z,"4km ENE of La Parguera, Puerto Rico",earthquake,1.05,3.39,0.1,3,reviewed,pr,pr
2017-11-09T10:06:12.770Z,-7.2302,155.8482,72.99,4.6,mb,,83,4.611,0.76,us,us2000bksq,2017-11-09T10:39:44.040Z,"102km SW of Chirovanga, Solomon Islands",earthquake,6.3,8.1,0.088,39,reviewed,us,us
2017-11-09T10:05:29.045Z,61.4838,-151.5553,76.9,1.9,ml,,,,0.63,ak,ak17172782,2017-11-09T10:12:09.057Z,"85km W of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-11-09T10:00:57.100Z,35.983,-117.9193333,2.6,0.63,ml,14,168,0.03406,0.05,ci,ci38039840,2017-11-09T23:03:20.554Z,"5km NNW of Little Lake, CA",earthquake,0.18,0.11,0.15,8,reviewed,ci,ci
2017-11-09T09:48:06.280Z,37.548,-118.844,3.24,0.69,md,13,280,0.04359,0.04,nc,nc72921641,2017-11-09T20:30:03.872Z,"15km SE of Mammoth Lakes, California",earthquake,0.93,0.64,0.186,10,reviewed,nc,nc
2017-11-09T09:45:41.490Z,33.4668333,-116.453,5,0.53,ml,26,111,0.1278,0.21,ci,ci38039832,2017-11-09T22:59:35.959Z,"23km ESE of Anza, CA",earthquake,0.32,2.94,0.125,17,reviewed,ci,ci
2017-11-09T09:44:36.010Z,60.056,-140.1168,1.1,1.7,ml,,,,0.74,ak,ak17172779,2017-11-09T09:49:45.934Z,"60km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-11-09T09:28:01.140Z,38.3475,-122.412,7.86,2.14,md,47,60,0.03655,0.11,nc,nc72921636,2017-11-09T22:24:03.695Z,"7km NNE of Sonoma, California",earthquake,0.24,0.21,0.152,30,reviewed,nc,nc
2017-11-09T08:58:58.899Z,38.4766,-118.0796,3.1,0.8,ml,5,299.86,0.074,0.0504,nn,nn00612004,2017-11-09T19:55:52.679Z,"45km SSW of Gabbs, Nevada",earthquake,,4.4,0.5,4,reviewed,nn,nn
2017-11-09T08:57:13.740Z,37.668335,-118.8550034,1.42,1.08,md,8,149,0.03337,0.06,nc,nc72921631,2017-11-09T10:07:02.451Z,"10km ENE of Mammoth Lakes, California",earthquake,0.51,1.45,0.17,7,automatic,nc,nc
2017-11-09T08:48:45.290Z,33.6516667,-116.715,14.28,0.39,ml,14,92,0.05935,0.08,ci,ci38039824,2017-11-09T23:02:45.634Z,"10km S of Idyllwild, CA",earthquake,0.29,0.53,0.137,10,reviewed,ci,ci
2017-11-09T08:45:13.490Z,36.8953,-97.5197,1.81,2.9,mb_lg,,72,0.122,0.11,us,us2000bksb,2017-11-09T15:39:11.287Z,"17km SSE of Caldwell, Kansas",earthquake,1.1,4.5,0.067,58,reviewed,us,us
2017-11-09T08:44:24.610Z,33.5018333,-116.7948333,4.56,0.37,ml,20,69,0.01148,0.1,ci,ci38039816,2017-11-09T22:57:44.322Z,"9km NE of Aguanga, CA",earthquake,0.17,0.32,0.094,10,reviewed,ci,ci
2017-11-09T08:36:14.900Z,44.7488333,-111.3611667,13.13,0.46,ml,11,68,0.095,0.14,mb,mb80268814,2017-11-09T18:30:36.550Z,"22km WNW of West Yellowstone, Montana",earthquake,0.38,0.91,0.316,3,reviewed,mb,mb
2017-11-09T08:31:42.580Z,37.5806667,-118.8453333,0.95,0.44,md,8,232,0.01592,0.05,nc,nc72921626,2017-11-09T19:57:03.814Z,"13km SE of Mammoth Lakes, California",earthquake,0.9,1.01,0.108,6,reviewed,nc,nc
2017-11-09T08:11:37.780Z,64.8492,-148.6727,7.4,0.4,ml,,,,0.4,ak,ak17172465,2017-11-09T19:41:18.411Z,"31km W of Ester, Alaska",earthquake,,3.1,,,reviewed,ak,ak
2017-11-09T07:54:33.810Z,38.8293343,-122.760498,1.11,0.83,md,8,131,0.007354,0.02,nc,nc72921621,2017-11-09T08:24:02.819Z,"3km WNW of Cobb, California",earthquake,0.51,0.73,0.17,3,automatic,nc,nc
2017-11-09T07:47:20.360Z,37.6113319,-118.8095016,2.7,1.08,md,10,220,0.02636,0.16,nc,nc72921616,2017-11-09T08:03:03.819Z,"14km ESE of Mammoth Lakes, California",earthquake,1.93,1.95,0.15,9,automatic,nc,nc
